label / lang,en,es,fr,ja,ko,pt,ar
navRecord,Record,Registro,Enregistrement,記録,기록,Registro,سجل
@navRecord,"{""description"": ""바텀 네비게이션바 몸무게 기록 탭 라벨""}","{""description"": ""바텀 네비게이션바 몸무게 기록 탭 라벨""}","{""description"": ""바텀 네비게이션바 몸무게 기록 탭 라벨""}","{""description"": ""바텀 네비게이션바 몸무게 기록 탭 라벨""}","{""description"": ""바텀 네비게이션바 몸무게 기록 탭 라벨""}","{""description"": ""바텀 네비게이션바 몸무게 기록 탭 라벨""}","{""description"": ""바텀 네비게이션바 몸무게 기록 탭 라벨""}"
navCalendar,Calendar,Calendario,Calendrier,カレンダー,캘린더,Calendário,التقويم
@navCalendar,"{""description"": ""바텀 네비게이션바 달력 탭 라벨""}","{""description"": ""바텀 네비게이션바 달력 탭 라벨""}","{""description"": ""바텀 네비게이션바 달력 탭 라벨""}","{""description"": ""바텀 네비게이션바 달력 탭 라벨""}","{""description"": ""바텀 네비게이션바 달력 탭 라벨""}","{""description"": ""바텀 네비게이션바 달력 탭 라벨""}","{""description"": ""바텀 네비게이션바 달력 탭 라벨""}"
navStatistics,Statistics,Estadísticas,Statistiques,統計,통계,Estatísticas,الإحصاءات
@navStatistics,"{""description"": ""바텀 네비게이션바 통계 탭 라벨""}","{""description"": ""바텀 네비게이션바 통계 탭 라벨""}","{""description"": ""바텀 네비게이션바 통계 탭 라벨""}","{""description"": ""바텀 네비게이션바 통계 탭 라벨""}","{""description"": ""바텀 네비게이션바 통계 탭 라벨""}","{""description"": ""바텀 네비게이션바 통계 탭 라벨""}","{""description"": ""바텀 네비게이션바 통계 탭 라벨""}"
navSettings,Settings,Configuración,Paramètres,設定,설정,Configuração,الإعدادات
@navSettings,"{""description"": ""바텀 네비게이션바 설정 탭 라벨""}","{""description"": ""바텀 네비게이션바 설정 탭 라벨""}","{""description"": ""바텀 네비게이션바 설정 탭 라벨""}","{""description"": ""바텀 네비게이션바 설정 탭 라벨""}","{""description"": ""바텀 네비게이션바 설정 탭 라벨""}","{""description"": ""바텀 네비게이션바 설정 탭 라벨""}","{""description"": ""바텀 네비게이션바 설정 탭 라벨""}"
labelDialogCancel,Cancel,Cancelar,Annuler,キャンセル,취소,Cancelar,إلغاء
@labelDialogCancel,"{""description"": ""다이얼로그 취소 동작 버튼 라벨""}","{""description"": ""다이얼로그 취소 동작 버튼 라벨""}","{""description"": ""다이얼로그 취소 동작 버튼 라벨""}","{""description"": ""다이얼로그 취소 동작 버튼 라벨""}","{""description"": ""다이얼로그 취소 동작 버튼 라벨""}","{""description"": ""다이얼로그 취소 동작 버튼 라벨""}","{""description"": ""다이얼로그 취소 동작 버튼 라벨""}"
labelDialogClose,Close,Cerrar,Fermer,閉じる,닫기,Fechar,إغلاق
@labelDialogClose,"{""description"": ""다이얼로그 닫기 동작 버튼 라벨""}","{""description"": ""다이얼로그 닫기 동작 버튼 라벨""}","{""description"": ""다이얼로그 닫기 동작 버튼 라벨""}","{""description"": ""다이얼로그 닫기 동작 버튼 라벨""}","{""description"": ""다이얼로그 닫기 동작 버튼 라벨""}","{""description"": ""다이얼로그 닫기 동작 버튼 라벨""}","{""description"": ""다이얼로그 닫기 동작 버튼 라벨""}"
labelDialogConfirm,Confirm,Confirmar,Confirmer,確定,확인,Confirmar,تأكيد
@labelDialogConfirm,"{""description"": ""다이얼로그 확인 동작 버튼 라벨""}","{""description"": ""다이얼로그 확인 동작 버튼 라벨""}","{""description"": ""다이얼로그 확인 동작 버튼 라벨""}","{""description"": ""다이얼로그 확인 동작 버튼 라벨""}","{""description"": ""다이얼로그 확인 동작 버튼 라벨""}","{""description"": ""다이얼로그 확인 동작 버튼 라벨""}","{""description"": ""다이얼로그 확인 동작 버튼 라벨""}"
titleDialogNetworkError,Network Error,Error de red,Erreur réseau,ネットワークエラー,네트워크 에러,Erro de Rede,خطأ في الشبكة
@titleDialogNetworkError,"{""description"": ""네트워크 에러 다이얼로그 타이틀""}","{""description"": ""네트워크 에러 다이얼로그 타이틀""}","{""description"": ""네트워크 에러 다이얼로그 타이틀""}","{""description"": ""네트워크 에러 다이얼로그 타이틀""}","{""description"": ""네트워크 에러 다이얼로그 타이틀""}","{""description"": ""네트워크 에러 다이얼로그 타이틀""}","{""description"": ""네트워크 에러 다이얼로그 타이틀""}"
contentDialogNetworkError,Failed to connect to the server. Please check your network connection and try again.,"No se pudo conectar con el servidor. Por favor, revise su conexión de red e intente nuevamente.",Impossible de se connecter au serveur. Veuillez vérifier votre connexion réseau et réessayer.,サーバーに接続できませんでした。ネットワーク接続を確認して再試行してください。,서버에 연결하지 못했어요. 네트워크 연결을 확인하고 다시 시도하세요.,Falha ao conectar ao servidor. Verifique sua conexão de rede e tente novamente.,فشل في الاتصال بالخادم. يرجى التحقق من اتصالك بالشبكة والمحاولة مرة أخرى.
@contentDialogNetworkError,"{""description"": ""네트워크 에러 다이얼로그 내용""}","{""description"": ""네트워크 에러 다이얼로그 내용""}","{""description"": ""네트워크 에러 다이얼로그 내용""}","{""description"": ""네트워크 에러 다이얼로그 내용""}","{""description"": ""네트워크 에러 다이얼로그 내용""}","{""description"": ""네트워크 에러 다이얼로그 내용""}","{""description"": ""네트워크 에러 다이얼로그 내용""}"
buttonNetworkRetry,Retry,Reintentar,Réessayer,再試行,다시 시도,Tentar Novamente,إعادة المحاولة
@buttonNetworkRetry,"{""description"": ""네트워크 에러 다이얼로그 재시도 버튼 라벨""}","{""description"": ""네트워크 에러 다이얼로그 재시도 버튼 라벨""}","{""description"": ""네트워크 에러 다이얼로그 재시도 버튼 라벨""}","{""description"": ""네트워크 에러 다이얼로그 재시도 버튼 라벨""}","{""description"": ""네트워크 에러 다이얼로그 재시도 버튼 라벨""}","{""description"": ""네트워크 에러 다이얼로그 재시도 버튼 라벨""}","{""description"": ""네트워크 에러 다이얼로그 재시도 버튼 라벨""}"
titleWeightDialogInput,Enter Weight,Introducir peso,Saisir le poids,体重設定,몸무게 설정,Introduzir Peso,تحديد الوزن
@titleWeightDialogInput,"{""description"": ""몸무게 설정 다이얼로그 타이틀""}","{""description"": ""몸무게 설정 다이얼로그 타이틀""}","{""description"": ""몸무게 설정 다이얼로그 타이틀""}","{""description"": ""몸무게 설정 다이얼로그 타이틀""}","{""description"": ""몸무게 설정 다이얼로그 타이틀""}","{""description"": ""몸무게 설정 다이얼로그 타이틀""}","{""description"": ""몸무게 설정 다이얼로그 타이틀""}"
labelTextAreaHint,Enter here,Ingrese aquí,Entrez ici,ここに入力,여기에 입력,Digite aqui,أدخل هنا
@labelTextAreaHint,"{""description"": ""텍스트 입력 힌트""}","{""description"": ""텍스트 입력 힌트""}","{""description"": ""텍스트 입력 힌트""}","{""description"": ""텍스트 입력 힌트""}","{""description"": ""텍스트 입력 힌트""}","{""description"": ""텍스트 입력 힌트""}","{""description"": ""텍스트 입력 힌트""}"
labelTextAreaInput,Input,Entrada,Saisir,入力,입력,Entrada,إدخال
@labelTextAreaInput,"{""description"": ""텍스트 입력 라벨""}","{""description"": ""텍스트 입력 라벨""}","{""description"": ""텍스트 입력 라벨""}","{""description"": ""텍스트 입력 라벨""}","{""description"": ""텍스트 입력 라벨""}","{""description"": ""텍스트 입력 라벨""}","{""description"": ""텍스트 입력 라벨""}"
labelRecordNoteHint,Note,Nota,Note,メモ,노트,Nota,ملاحظة
@labelRecordNoteHint,"{""description"": ""몸무게 기록 화면 노트 입력 힌트""}","{""description"": ""몸무게 기록 화면 노트 입력 힌트""}","{""description"": ""몸무게 기록 화면 노트 입력 힌트""}","{""description"": ""몸무게 기록 화면 노트 입력 힌트""}","{""description"": ""몸무게 기록 화면 노트 입력 힌트""}","{""description"": ""몸무게 기록 화면 노트 입력 힌트""}","{""description"": ""몸무게 기록 화면 노트 입력 힌트""}"
buttonRecordSaveWeight,Save,Guardar,Enregistrer,保存,저장,Salvar,حفظ
@buttonRecordSaveWeight,"{""description"": ""몸무게 기록 화면 저장 버튼 라벨""}","{""description"": ""몸무게 기록 화면 저장 버튼 라벨""}","{""description"": ""몸무게 기록 화면 저장 버튼 라벨""}","{""description"": ""몸무게 기록 화면 저장 버튼 라벨""}","{""description"": ""몸무게 기록 화면 저장 버튼 라벨""}","{""description"": ""몸무게 기록 화면 저장 버튼 라벨""}","{""description"": ""몸무게 기록 화면 저장 버튼 라벨""}"
buttonRecordRegistHeight,Register Height,Registrar altura,Enregistrer la taille,身長設定,키 설정,Registrar Altura,تسجيل الطول
@buttonRecordRegistHeight,"{""description"": ""키 설정 버튼 라벨""}","{""description"": ""키 설정 버튼 라벨""}","{""description"": ""키 설정 버튼 라벨""}","{""description"": ""키 설정 버튼 라벨""}","{""description"": ""키 설정 버튼 라벨""}","{""description"": ""키 설정 버튼 라벨""}","{""description"": ""키 설정 버튼 라벨""}"
toastMessageRecordFailedToLoadWeights,Failed to load weight record,Error al cargar los datos de peso,Échec du chargement des données de poids,体重の読み込みに失敗しました,몸무게를 불러오는데 실패했어요,Falha ao carregar dados de peso,فشل في تحميل سجل الوزن
@toastMessageRecordFailedToLoadWeights,"{""description"": ""몸무게 불러오기 실패 토스트 메시지""}","{""description"": ""몸무게 불러오기 실패 토스트 메시지""}","{""description"": ""몸무게 불러오기 실패 토스트 메시지""}","{""description"": ""몸무게 불러오기 실패 토스트 메시지""}","{""description"": ""몸무게 불러오기 실패 토스트 메시지""}","{""description"": ""몸무게 불러오기 실패 토스트 메시지""}","{""description"": ""몸무게 불러오기 실패 토스트 메시지""}"
toastMessageRecordFailedToRegistWeight,Failed to register weight record,Error al registrar el peso,Échec de l'inscription du poids,体重の記録に失敗しました,몸무게를 기록하는데 실패했어요,Falha ao registrar peso,فشل في تسجيل الوزن
